,brief,header,pubtime,savetime
0,北京时间 12 月 17 日晚，Maker 将会启动一个执行投票，将借 Dai 的稳定费用从 2.5% 降低到 0.5%。如果提案由 MKR 持有者投票通过，新的稳定费用会立即生效。本次调整是面对近期市场对 Dai 的需求增加，提案会由 Maker 社区投票决定。在多抵押 Dai 发布时， Dai 的价格将通过稳定费用和存款利息共同调节，以半自动化的方式保持 Dai 的价格保持在 1 美元稳定。,Maker 社区将对稳定币 Dai 降息提案进行投票,17:28,2018-12-15 20:16:01
1,孙宇晨通过推特表示 Tron 与跨链钱包 Swftcoin 合作。通过 Swftcoin AI 和正在申请专利的跨链交易算法，用户能够以较低的费用和极快的速度交易 TRX。不久前 Tronwallet 新增 DEX 去中心化交易所功能，并宣布支持 5 个币种。,Tron 与跨链钱包 Swftcoin 合作，优化 TRX 交易体验,12:07,2018-12-15 20:16:01
2,基于 0x 协议的去中心交易所 DDEX 宣布将「分叉」0x 协议，即在 0x 协议基础上，重写其代码库，发布新的去中心化交易协议 Hydro；等到新协议发布后，DDEX 将转移至 Hydro 协议，并不再使用 ZRX 代币，因为「ZRX 代币产生了不必要的摩擦」。目前 DDEX 是最大的基于 0x 协议的去中心交易所，其交易量占了所有 0x 协议上交易量的 40% 以上。 0x 团队向链闻回应称，理解 DDEX 做出的该决定，但是相信模块化和标准化才会推动更大的创新，该团队还强调了 ZRX 代币起到的治理生态系统的作用，称期望未来能把 0x 网络的控制权交给 ZRX 代币的持有者。,去中心交易所 DDEX 宣布「分叉」0x 协议，将不再使用 ZRX 代币,07:59,2018-12-15 20:16:01
3,Coinbase 宣布重新开放美国用户的 Paypal 提现，美国用户可以免费将 Coinbase 账户中余额即时提现至 Paypal 账户。Coinbase 在今年早些时候因技术原因暂停了 Paypal 提现。,Coinbase 重新开放美国用户的 Paypal 提现,07:15,2018-12-15 20:16:02
4,比特币奖励平台 Lolli 向 Coindesk 透露，化妆品零售巨头丝芙兰已经参与了 Lolli 的奖励平台，用户通过 Chrome 浏览器下载 Lolli 插件，在参与 Lolli 奖励平台的零售商网站购物，可以获得比特币返现。Lolli 上个月宣布获得了贝恩资本风险投资和 DCG 的 225 万美元种子轮融资。,化妆品零售巨头丝芙兰参与比特币奖励平台 Lolli,07:07,2018-12-15 20:16:02
5,基于以太坊的去中心化社交应用 Status.IM 宣布裁员 25%。Status 既是一个开源的消息平台，也是一种 Web 3.0 的浏览器，其宣称希望通过去中心化和社区管理的方式建立一个类似微信的通讯平台，用户可以在该平台上进行社交生活、银行业务、商业活动、交通运输、服务发现、付款等业务。该项目曾在去年融资 18 万枚以太坊，当时价值 6400 万美元。,基于以太坊的去中心化社交应用 Status 裁减 25% 的员工,07:00,2018-12-15 20:16:02
6,TokenGazer 发布 Bitcoin Cash 评级报告，项目综合评分：4.5 分，指标趋势：稳定。经过这一次硬分叉后，目前比特现金的技术发展情况非常重要。长期来看，如果比特现金后续能够在大区块的技术路线上有所突破，并进一步实现分片扩容，那么比特现金的应用场景会更多，再加上比特大陆在数字货币世界的强大影响力，比特现金还是具有比较大的投资价值。但是，短期来看，由于这次硬分叉带来的负面影响，比特现金项目的市值占比近期可能会进一步降低，建议投资者必须保持高度谨慎。完整报告参见「原文链接」或链闻首页。,BCH 深度报告：拆分影响告一段落，大区块扩容技术仍待发展,22:45,2018-12-15 20:16:02
7,加密货币交易所 Seed CX 禁止大约 40 名员工进行加密货币交易。员工需要向合规团队提供他所有钱包地址的清单，以便有效地锁定他们的加密资产，并对他们的资产进行监控。这一政策的目的是避免员工和投资者产生利益冲突。,加密货币交易所 Seed CX 禁止员工进行加密货币交易,18:31,2018-12-15 20:16:02
8,PayPal 启动了一个基于区块链的内部员工激励计划，用加密代币奖励员工，但他们只有在 PayPal 内部才有价值。员工可以通过参加创新项目和贡献创意来获得代币，他们也可以交换代币。代币交易将记录在平台的区块链分类账上，并可兑换超过 100 种奖励或体验。这些活动包括与 PayPal 副总裁一起参加扑克比赛等。,PayPal 启动了一个基于区块链的内部员工激励计划,17:42,2018-12-15 20:16:02
9,日本政府公布了 2019 财年「税制修改大纲」，确认了关于虚拟货币的「公司税法」的新记载，从明年 4 月 1 日之后开始计算。日本政府此前曾表示，近年来，国税局已经建立了可以向虚拟货币交易所查询住址、姓名等个人信息的机制，并将其纳入到 2019 年度「执政党税制改革大纲」中，主要面对年收入超过 1000 万日元的交易者。,日本政府公布 2019 财年「税制修改大纲」，新增虚拟货币「公司税法」,16:38,2018-12-15 20:16:02
10,万向区块链董事长肖风在香港举行的「Hashkey 数字资产行业研讨会」上表示，区块链技术正处于逐渐成熟的阶段，作为大量区块链项目的投资者，他已经看到下一代公链、跨链、分片、分区等技术正在开发之中，预计很多项目会在 2019 年上线。他表示：「有些技术开发有难度，可能会有延期，但是总体来看，众多项目会在 2019 年交付，会对目前区块链基础设施的性能、安全性和易用性带来改善。」此外他还指出，在最近的以太坊开发者大会上看到众多开发者开始关注并且讨论客户体验问题，「这个趋势非常重要，客户体验不可能在 3 个月内完成，但是预计区块链产品易用性较差的问题有可能在两年左右被改善」。,万向区块链董事长肖风：成熟区块链技术将在 2019 年上线，客户体验瓶颈已被关注,16:17,2018-12-15 20:16:02
11,日本金融厅召开第 11 次加密货币交易所研讨会，根据官方资料，日本金融厅主要就虚拟货币交易、监管和 ICO 等七大方面进行讨论，整理如下：1. 虚拟货币交易所面临挑战的应对方式：加强客户资产的管理和保护，确保业务的合规性等。2. 虚拟货币不公平交易的应对方式。3. 虚拟托管业务的应对方式。4. 虚拟货币衍生品交易的应对方式。5. ICO 的应对方式。6. 引入商业法规的过渡措施。7. 将「虚拟货币」名称更改为「加密资产」。,日本金融厅研讨会主题：包括虚拟货币交易、监管和ICO等七大方面,15:33,2018-12-15 20:16:02
12,万向区块链董事长肖风在香港举行的「Hashkey 数字资产行业研讨会」上表示，2018 年数字资产泡沫的破裂，与 2000 年科技股泡沫破裂非常相似，泡沫的破裂会清除掉市场上有害的东西，帮助整个区块链行业健康发展。肖风指出，有五个趋势不容忽视：区块链技术正逐渐成熟，法律框架逐渐清晰，主流机构正在进入区块链领域，主流资金开始投资数字资产，另外，区块链的开发者们已经认识到需要解决技术易用性的问题。「这五个趋势让我相信，未来 10 年数字资产和区块链技术的发展前景非常光明」。,万向区块链董事长肖风：2018 年数字资产泡沫的破裂只会推动该行业健康发展,15:23,2018-12-15 20:16:02
13,澳大利亚国家词典中心近日公布了 2018 年度词汇的评选结果，「堪培拉泡沫」胜出，「Blockchain」（区块链）作为比特币（Bitcoin）等加密货币背后的技术，也因其在世界范围内的影响力而入围。,区块链入选澳大利亚 2018 年度词汇,14:38,2018-12-15 20:16:02
14,罗马尼亚交易所 CoinFlux 宣布，该公司的银行账户被冻结。CoinFlux 团队表示，由于最近开始的调查，他们正处于「暂时停止任何数字货币交易的情况」下。此前该交易所首席执行官 Vlad Nistor 因洗钱被捕。,罗马尼亚交易所 CoinFlux 银行账户被冻结,13:34,2018-12-15 20:16:02
15,基于对 1552 名日本互联网从业者的调查，网络安全公司 McAfee 发布 2018 年日本十大网络安全事件。其中，Coincheck 新经币（XEM）遭窃事件位居榜首，有 48.7% 的受访者对此有所了解，这一数字远高于其他上榜事件。此外，盗版网站「漫画村」窃用用户的设备算力进行加密货币挖矿一事排名第三。,McAfee 发布 2018 年日本十大网络安全事件，Coincheck 丢币事件位居榜首,12:20,2018-12-15 20:16:03
16,联想数据中心业务集团中国区首席架构师毕巍近日表示，区块链目前主要是内部改造，可能明年会发布真正的面向供应链管理和供应链金融的区块链端到端的解决方案。,联想或于明年发布基于区块链的供应链解决方案,11:32,2018-12-15 20:16:03
17,据一份最新的投资者报告称，加密货币投资基金 Pantera Capital 旗下的风险投资基金 Venture Fund II（简称 VFII）从第一季度到第三季度增长了近 60%，而同一时期，比特币下跌了 53%，追踪了 10 个加密货币的被动指数型基金 Bitwise Index 10，同期下跌了 59%。该公司表示，高流通性市场的波动使风险投资成为加密货币投资者的绿洲。报告中还说到，「相较比特币的 11.3 倍增长，在没有坐过山车和愁白了头发的情况下，VFII 3.3 倍的 TVPI 总回报倍数也不可小觑，两者都是相当可观的回报。更不用说，风投降低了基于短期情绪的错误交易的可能性。」对于 ICO 的投资来说，证券交易委员会 SEC 已开始打击符合证券定义的发币行为，Pantera 称其 25% 的 ICO 投资组合可能会受到影响。,Pantera 旗下风投基金 VFII 自第一季度增长近 60%,10:26,2018-12-15 20:16:03
18,基于区块链云计算的项目 Dfinity 在一篇博客文章中宣布推迟发布其旗舰产品「互联网计算机」Internet Computer，目前正在为一个可行性最低产品「制定时间表」。据 Dfinity 的说法，该公司最初计划在 2019 年第一季度发布该产品的「缩减版」，然而开发这样一个版本将延缓推出完整产品的进展。此外，Dfinity 将公告预计在 2019 年第一季度末发布的新软件开发工具包进展。Dfinity 已募集了总计 1.9 亿美元的投资，包括 Polychain Capital、Andreessen Horowitz 和 Multicoin Capital。,Dfinity 推迟发布旗舰产品「互联网计算机」,09:34,2018-12-15 20:16:03
19,网络公司 CERT NZ 称，新西兰一些居民收到了炸弹电子邮件威胁，要求比特币支付，警方正在努力确认这些威胁是否存在，尽管这可能是一种「机会主义骗局」。CERT NZ 表示，新西兰居民收到的电子邮件似乎与美国和加拿大居民近日收到的威胁电子邮件非常相似。,新西兰等多地收到带有炸弹威胁的电子邮件，要求比特币支付,08:10,2018-12-15 20:16:03
