,brief,header,pubtime,savetime
0,继前日发表文章揭露加密交易所涉嫌成为犯罪活动洗钱通道之后，华尔街日报又发表调查文章，矛头直指加密货币领域的程式交易基金，称「在加密货币的蛮荒之地，程式交易正操控着比特币价格」，因为自动化交易程序更容易推高加密货币价格，并且该领域缺乏监管。华尔街日报称，美国的监管机构对加密货币领域内自动化交易程序的滥用及缺乏监管现状，已经多次表示担忧。,华尔街日报：程式交易正操控比特币价格,03:23,2018-10-03 20:43:54
1,知名区块链媒体 CoinDesk 评选出美国区块链领域最强的十所大学名单，斯坦福大学、加州大学伯克利分校、纽约大学位列三甲，MIT、康奈尔大学名列第四和第五。该榜单由 CoinDesk 根据美国各大学开设区块链相关课程数量、校园内区块链社群数量、学校在区块链行业的技术贡献等信息为依据，排名产生。,CoinDesk 发布全美区块链十强大学名单，斯坦福、加大伯克利、纽约大学位列三甲,02:40,2018-10-03 20:43:54
2,据 Recode 获得的知情人士线报，美国最大的加密货币交易所 Coinbase 正在进行 5 亿美元的新一轮融资，已经接触老虎环球基金，后者有意投资， Coinbase 现有股东也有意继续投资。Coinbase 本轮估值约为 80 亿美元，相比之下，该公司去年夏天完成上一轮融资时，估值约为 15 亿美元。另，Coinbase 今天宣布，嘉信理财董事会成员 Chris Dodds 正式加入 Coinbase 董事会。,传 Coinbase 正接触老虎环球基金，进行新一轮 5 亿美元融资，估值 80 亿美元,02:20,2018-10-03 20:43:54
3,加密货币交易所 BitMEX 宣布，任命香港交易所监管合规主管兼董事总经理关蕙(Angelina Kwan) 出任 CEO 一职，希望借此改进全球加密货币运营规则。关蕙还曾担任香港证券及期货事务监察委员会董事一职。在新 CEO 任命之前，BitMEX 的 CEO 一职由联合创始人 Arthur Hayes 兼任，Hayes 毕业于沃顿商学院经济学专业，毕业后一直在香港从事股票衍生品交易员工作，曾是德意志银行和花旗银行的 ETF 业务的做市商。,加密货币交易所 BitMEX 任命港交所前合规负责人担任 CEO,01:21,2018-10-03 20:43:54
4,于伦敦 NEX 交易所挂牌交易的区块链投资公司 KR1 Plc 表示，已经脱手在 Golem 和 Qtum 两个项目上的投资，套现离场。KR1 在公告中宣布，该公司在 Qtum 上获得回报为 20 倍；在 Golem 的回报为 17 倍。该公司首席执行官 George McDonaugh 表示，Qtum 和 Golem 这两个项目社区发展迅速，项目的早期版本都已经部署且运行良好，不过却面临 TrueBit、Dfinity 及其他平台的竞争压力。尽管成功套现 Golem 和 Qtum 两个项目，但实际上， KR1 投资规模并不大。链闻获得的信息显示， KR1 最后出售两项目获得的资金金额仅仅数十万美元。,区块链投资公司 KR1 出售持有的 Golem 和 Qtum 代币,00:48,2018-10-03 20:43:54
5,比特大陆宣布收购比特币现金轻钱包 Telescope，交易金额未披露。Telescope 为开源软件，目前通过浏览器 Chrome 和 Firefox 的插件为用户提供比特币现金钱包服务。本次收购之后，Telescope 团队计划把服务拓展到其他平台。,比特大陆收购 BCH 轻钱包 Telescope,22:29,2018-10-03 20:43:54
6,Ripple CEO Brad Garlinghouse 在一个活动上宣布，目前有三家金融机构开始正式商用 Ripple 旗下的 xRapid 产品。他表示，这三家公司分别是 MercuryFX、Cuallix 和 Catalyst Corporate Credit Union。尽管 Ripple 一直高调进行公关活动，但是之前的金融机构只是测试 xRapid 的产品。按照 Brad Garlinghouse 的说法，这三家公司现在已经决定正式使用 xRapid 的产品。这三家公司中，MercuryFX 和 Cuallix 主要业务是提供国际汇款服务，这两家公司之前参与了 xRapid 产品的测试活动；Catalyst Corporate Federal Credit Union 是 Ripple 新的合作伙伴，该机构主要向美国西部和西南部的信用联盟提供金融服务。,三家金融机构正式使用 Ripple 旗下的 xRapid 产品,07:14,2018-10-03 20:43:54
7,Nebulous CEO David Vorick 表示，该公司旗下的去中心化云储存平台项目 Sia 很快将进行分叉，以阻止比特大陆和 Innosilicon 等公司开发的 ASIC 矿机在 Sia 区块链上挖矿。分叉之后，Nebulous 旗下公司 Obelisk 生产的矿机将是唯一的 Sia 挖矿设备。,Sia 很快将分叉，阻止比特大陆和 Innosilicon 的 ASIC 矿机挖矿,06:58,2018-10-03 20:43:54
8,ConsenSys 宣布，向企业级区块链技术公司 DrumG 投资 630 万美元。DrumG 由 R3 前商务拓展负责人 Tim Grant 创立，主要立足于企业级以太坊和 R3 的 Corda 平台，向金融企业提供企业级分布式账本相关技术的应用。这是 DrumG 的 A 轮融资，ConsenSys 为唯一投资人；ConsenSys 创始人兼 CEO Joseph Lubin 将成为 DrumG 董事会成员。,ConsenSys 向企业级区块链技术公司 DrumG 投资 630 万美元,06:41,2018-10-03 20:43:55
9,著名加密货币场外交易机构 Cumberland 的全球交易负责人 Bobby Cho 向彭博社表示，对冲基金这样的机构投资者已经取代高净值人群（指持有加密资产高于 10 万美元的个人投资者），成为加密货币场外交易最大的买家；同时，加密货币矿工这样的大额卖家，也越来越倾向于通过定期出货的方式出售手中的加密货币，很多大型矿工已经设立起自己的交易团队，而不是像过去那样简单坐等市场反弹之后卸货。Bobby Cho 还表示，通过该公司完成的交易有大约三分之一发生在亚洲交易时段。Cumberland 是总部位于芝加哥的著名交易公司 DRW Holdings 旗下专门从事加密货币场外交易的机构。,Cumberland：机构投资者已经成为加密货币场外交易最大买家,06:23,2018-10-03 20:43:55
