,brief,header,pub_time,url
0,钛媒体10月18日消息，在今天举行的Samsung Tech Day上，三星宣布7LPP工艺进入量产。,三星宣布7nm LPP工艺进入量产,20:28,http://www.tmtpost.com/nictation/3538179.html
1,钛媒体10月18日消息，康美药业股份有限公司（康美药业，600518）10月18日晚间公告称，控股股东的一致行动人许冬瑾拟在6个月内以5亿元-10亿元增持。,康美药业：控股股东的一致行动人拟半年内增持5亿-10亿元,20:25,http://www.tmtpost.com/nictation/3538175.html
2,钛媒体10月18日消息，中国人民银行上海总部10月18日公布的数据显示，前三季度上海本外币个人住房贷款新增462.85亿元，仅为去年同期的三成。,上海前三季度新增个人住房贷款463亿，仅为去年同期的三成,20:08,http://www.tmtpost.com/nictation/3538151.html
3,钛媒体10月18日消息，日前，北京现代菲斯塔正式上市，售价区间为11.98-15.48万元，共提供1.4T/1.6T两种发动机的五款车型。,现代菲斯塔上市11.98万起，轿跑式设计 1.4T/1.6T动力可选,19:58,http://www.tmtpost.com/nictation/3538134.html
4,钛媒体10月18日举办的世界智能网联大会上，腾讯集团董事局主席马化腾透露，腾讯将发布车载场景的微信功能和小程序功能。,马化腾：腾讯将推出车载微信和小程序,19:49,http://www.tmtpost.com/nictation/3538119.html
5,钛媒体10月18日消息，在今日的商务部例行发布会上，商务部发言人表示：中国加入区域全面经济伙伴关系是自身发展的战略选择。,商务部：中国加入区域全面经济伙伴关系是自身发展战略选择,19:35,http://www.tmtpost.com/nictation/3538100.html
6,钛媒体10月18日消息，今天支付宝宣布在香港也能扫码乘车了。未来，内地游客去香港，将也可用扫支付宝坐车。,支付宝：香港也能扫码乘车，600辆小巴即将支持,19:31,http://www.tmtpost.com/nictation/3538093.html
7,10月18日消息，奢侈手机品牌VERTU纬图（原名威图）昨日在中国推出了全新ASTER P系列商务手机，用了蓝宝石手机显示屏和鳄鱼和蜥蜴皮革机身。,奢侈手机品牌VERTU推ASTER P系列新品，蓝宝石屏幕+鳄鱼皮机身,19:29,http://www.tmtpost.com/nictation/3538088.html
8,在实施三年的《互联网保险业务监管暂行办法》到期后，银保监会就《互联网保险业务监管办法》向业内征求意见，对网销区域扩展进行修订。,银保监会对互联网保险业务监管办法征求意见,19:26,http://www.tmtpost.com/nictation/3538079.html
9,央行将加强互联网信用体系建设，推动小贷公司、网贷机构全面接入征信系统，实现互联网金融、互联网电商等领域的信用信息覆盖。,央行加强互联网信用体系建设，将审慎发放个人征信牌照,19:19,http://www.tmtpost.com/nictation/3538067.html
10,罗尔斯-罗伊斯公司将在其打造的复杂和智能的船舶系统产品系列中增加可实现完全自动驾驶的船舶,英特尔人工智能与罗尔斯-罗伊斯合作开发自动驾驶货船,19:13,http://www.tmtpost.com/nictation/3538060.html
11,目前百度开放的Apollo平台近50%的新增代码都是为了保障安全，而其和厦门金龙合作的阿波龙已实现了20余个场景、10000+公里、10000+人次的测试，截至目前为止，,百度李彦宏：智能的车不够，还要有智能的路,19:04,http://www.tmtpost.com/nictation/3538048.html
12,滴滴今日发布公告称，持续探索并加强安全运营保障机制，从今日起，增加并试行四项安全保障功能和措施。,滴滴安全保障持续升级：烟台、江门两地测试短信报警功能,19:02,http://www.tmtpost.com/nictation/3538045.html
13,钛媒体10月18日消息，今天，小米路由器官方宣布，小米路由器4喜提世界四大设计奖之一的日本优良设计奖。,小米路由器4获日本优良设计奖,19:02,http://www.tmtpost.com/nictation/3538044.html
14,钛媒体10月18日消息，10月19日下午3:01，iPhone XR将准点在天猫预售，开启在中国的首销，6499元起售价。,苹果参加天猫双11：iPhone XR天猫首发，19日开启预售,18:54,http://www.tmtpost.com/nictation/3538032.html
15,钛媒体10月18日消息，当地时间10月17日，美国总统特朗普宣布计划在一年内退出一项已有144年历史的邮政条约——万国邮政联盟。,美国退群万国邮联影响跨境电商，中小卖家很受伤,18:41,http://www.tmtpost.com/nictation/3537999.html
16,Jabra E50 这款耳麦主要针对的是呼叫中心这一类的使用场景，主要特点是加入了专业的数字化芯片，从而实现更强的功能和更好的体验。,Jabra 发布数字化客服耳麦 Engage50,18:39,http://www.tmtpost.com/nictation/3537996.html
17,钛媒体10月18日消息，10月18日香港股市小米尾盘拉到红盘收12.34元港币，和7月18日盘中最高价22.2元港币相比暴跌了45.4%。,台媒：小米上市百日暴跌45%，股民欲哭无泪,18:27,http://www.tmtpost.com/nictation/3537980.html
18,钛媒体10月18日消息，据英国《金融时报》报道，打车应用公司Uber已通过发售垃圾债券(junk bond)融资20亿美元，计划于2019年下半年IPO。,Uber通过发售垃圾债券融资20亿美元，明年下半年IPO,18:16,http://www.tmtpost.com/nictation/3537961.html
19,钛媒体10月18日消息，在工信部和北京市政府联合主办的“世界智能网联汽车大会”中，马化腾表示，未来车企要实现软硬服务的生态协同。,腾讯CEO马化腾：未来车企要实现软硬服务的生态协同,18:04,http://www.tmtpost.com/nictation/3537936.html
20,钛媒体10月18日消息，今日索尼移动正式推出旗下智能手机Xperia系列新机——Xperia XZ3，国行版售价为5399元，6英寸OLED屏。,索尼Xperia XZ3国行发布，6英寸OLED屏，售5399元,17:56,http://www.tmtpost.com/nictation/3537911.html
21,钛媒体10月8日消息，反映跨境资金流动的外汇占款在9月创下2017年1月以来的最大降幅，环比骤降1194亿元。,9月外汇占款环比骤降1194亿元，创去年1月来最大降幅,17:47,http://www.tmtpost.com/nictation/3537900.html
22,钛媒体10月18日消息，中东打车应用公司Careem本周四表示，在新一轮融资中已经从现有投资者手中获得了2亿美元的投资，预计将会有更多的的资金进入。,中东打车应用Careem获2亿美元融资，投后估值超20亿美元,17:41,http://www.tmtpost.com/nictation/3537882.html
23,网易考拉与全球航运及物流领军企业马士基签署全球运输与物流战略合作协议，以提升跨境物流海外段运输时效和可控性，同时还将为双11、黑五等电商旺季大促保障国际运输能力。,网易考拉与马士基达成战略合作，保障跨境电商国际运力,17:29,http://www.tmtpost.com/nictation/3537863.html
24,钛媒体10月18日消息，百度公司与海南省人民政府宣布将在区块链领域达成深度合作。,百度与海南省政府共建区块链实验室，落户自贸区区块链试验区,17:16,http://www.tmtpost.com/nictation/3537844.html
25,钛媒体10月18日消息，今日，天猫再次发布双11锦囊，此次针对“评价要挟”，给商家增加极速处理权益。,天猫再出双11锦囊：“评价要挟”可急速处理,16:59,http://www.tmtpost.com/nictation/3537815.html
26,钛媒体10月18日消息，1919发布公告称，近日获得阿里巴巴集团20亿元的战略投资，阿里巴巴持股约29%，为1919第二大股东。,阿里巴巴20亿入股酒类电商1919，成其第二大股东,16:49,http://www.tmtpost.com/nictation/3537790.html
