,brief,header,pubtime,savetime
0,据 Tokenview 挖矿数据显示，今日 BTC 的挖矿盈利为 0.17 美元/天/THash/s，较昨天上升 17.81%；ETH 的挖矿盈利为 0.01 美元/天/MHash/s，较昨天上升 0.7%；BCH 的挖矿盈利为 0.02 美元/天/THash/s，较昨天下降 32.47%；LTC 的挖矿盈利为 2.88 美元/天/GHash/s，较昨天上升 3.04%；,Tokenview：BTC 挖矿盈利较昨日上升 17.81%,13:26,2018-12-01 20:18:34
1,专注于区块链领域的风险投资机构进化力资本（Evolution Capital）宣布正式成立，该机构团队主要成员均来自国内领先的数字货币投资机构 DFund。进化力资本合伙人老葛告诉链闻，未来关注于区块链行业基础设施、底层技术协议、落地应用等早期项目，除了提供资本支持之外，也会向早期项目提供框架设计辅导等投后服务。他说：「我们将着力于数字资本自我更新，全力探索第二代数字资本模型，为区块链风险投资领域注入新力量、启发新探索。」进化力资本另一位合伙人为李泉。老葛和李泉之前均为 DFund 的创始合伙人。进化力资本目前尚未披露募资规模。,区块链风险投资机构 Evolution Capital 正式启动,11:50,2018-12-01 20:18:34
2,加密资产研究公司 CoinShares 发布比特币挖矿报告，称数据显示，大量比特币矿场已经离开中国，转战斯堪的纳维亚半岛、俄罗斯、加拿大和美国等地，寻找电费便宜、电力供应充沛、监管政策友好、互联网接入迅速和天气寒冷的地方设立矿场。CoinShares 估计，只有不到 60% 的矿场依然留在中国运营，这些矿场 80% 在四川运营，其他则散布在云南、贵州、西藏、新疆、内蒙古西部和黑龙江。,研究：大量比特币矿场离开中国，中国矿场 80% 集中在四川,08:53,2018-12-01 20:18:34
3,德国的另类资产管理公司 Xolaris 宣布推出一支私募股权基金，专门投资于比特币挖矿领域。Xolaris 表示，其客户显示出希望在比特币熊市中进入该市场的需求。Xolaris 表示，将和瑞典比特币矿场拥有者 Marc Stehr 共同运作该基金，该基金计划募资 3000～5000 万欧元，最小投资额门槛为 25 万欧元。Xolaris 今年年中已经将业务扩展至亚太地区，在香港开设了新的办公室。,德国另类资产管理公司 Xolaris 推出比特币挖矿私募股权基金,04:35,2018-12-01 20:18:34
4,多重签名钱包 Gnosis Safe 正式在以太坊主网上线。该钱包产品由预测市场项目 Gnosis 团队开发，可以让用户控制何人从何地登陆该钱包，从而增加钱包的安全性。Gnosis Safe 目前已经推出安卓版本，另可以像 Metamask 一样，通过增加浏览器插件进行使用。,多重签名钱包 Gnosis Safe 正式上线,03:13,2018-12-01 20:18:34
5,华硕宣布与区块链技术公司 Quantumcloud 展开合作，鼓励用户利用闲置 GPU 挖掘加密货币。在该合作中，Quantumcloud 提供免费软件，让用户可以贡献 GPU 和带宽等闲置资源进行挖矿，获得现金奖励。按照 Quantumcloud 的说法， 用户可以以抢单的方式接取计算任务，类似滴滴和优步的司机抢单，用户接单任务后，每天都会得到相应的奖励点数，最终再将这些奖励点数变成现金。,华硕与初创公司 Quantumcloud 合作，鼓励用户用闲置 GPU 挖矿,01:50,2018-12-01 20:18:34
6,据 Coindesk 报道，来自 VanEck、SolidX 和 Cboe 的代表本周早些时候再次会见了美国证券交易委员会（SEC）官员，重新阐述了自己的立场，认为比特币市场已经适合推出 ETF 产品，以此推动 SEC 尽快批准比特币 ETF 产品上市。在此之前，SEC 主席 Jay Clayton 曾在出席 Consensus: Invest 大会时表示，批准加密货币 ETF 上市的前提是，加密货币市场解决掉市场操纵和托管的问题。他同时表示，这番评论仅代表个人观点，不代表 SEC 官方态度。,VanEck、SolidX 和 Cboe 会见 SEC 官员继续推动比特币 ETF 推出,01:37,2018-12-01 20:18:34
7,TokenGazer 发布 Steem 最新评级报告：综合评分 4.3，指标趋势下降。Steem 是区块链内容价值网络的第一个落地项目，但三代币体系设计复杂，其中 SP 通胀率不断修正，SBD 与美元价格锚定失效，并未起到稳定作用。HF20 硬分叉问题暴露项目开发缺陷，Steem 二级市场占有率不断下降。,TokenGazer：Steem生态乏力裁员在即，代币体系存在设计缺陷,21:10,2018-12-01 20:18:35
8,P2P Foundation 上中本聪账号在 10 个小时前出现更新，添加了一个单词「nour」，同时，该账户与巴西加密圈网红博主 Wagner Tamanaha 加了好友。推特上猜测「nour」一词来自于阿拉伯文「光」的意思。但是和巴西网红博主加好友的举动，似乎更意味着这次中本聪账号异动是账户被黑所导致，而非「中本聪回来了」。,中本聪 P2P Foundation 账号疑似被黑，与巴西博主成为好友,17:58,2018-12-01 20:18:35
9,万向区块链宣布，携手与中都物流和星展银行设立基于区块链技术的汽车供应链物流服务平台「运链盟」，该平台已正式上线，是国内首个区块链技术在汽车整车物流行业的落地案例，目前已有融资款投放完成。运链盟是一个基于区块链技术，以汽车整车物流作为实际业务场景，集物流、结算与供应链金融三大功能模块的综合服务平台，旨在利用区块链技术，通过解决价值传递过程中博弈多方互信等痛点，为实体经济注入新的力量源泉。,万向区块链与中都物流、星展银行共同设立区块链汽车供应链物流服务平台,16:57,2018-12-01 20:18:35
